TRX_USD_VALUE,EU_CUST_NAME,TRX_NUMBER,OTM_DATE,SALES_CHANNEL_CODE,TRX_SOURCE_TYPE,TRX_ORIG_CODE,WEB_ORDER_ID,OFFER_TYPE,DEAL_ID,TERM,REMAINING_TERM,CONTRACT_START_DATE,CONTRACT_END_DATE,SC_SPLIT_PERCENT,SUBROLE_NAME,SALESREP,SEGMENT1
8595.64,Cogeco Connexion Inc,87086410,04/18/2020 00:00:00,NULL,MANUAL,XAAS,87086410,IOS-XR,NULL,84,84,NULL,NULL,1,Teams,Cogeco Team,GSP COM E CENTRAL PH1 L6
49.92,UPC SCHWEIZ GMBH,85823628,04/19/2020 00:00:00,NULL,MANUAL,XAAS,85823628,UMBRELLA,19719849,36,NULL,9/19/2019,NULL,1,Account Manager,mschnide,SWITZ_OTHERS_MS
0.00,FEDERAL ELECTRICITY & WATER AUTHORITY FEWA,87087338,04/19/2020 00:00:00,NULL,MANUAL,XAAS,87087338,WEBEX,45909452,12,9,1/22/2020,NULL,1,Account Manager,welkhali,ENT_UAE_DEWA
1458.00,BANESCO,87086689,04/19/2020 00:00:00,NULL,MANUAL,XAAS,87086689,UMBRELLA,19654477,12,12,4/29/2020,NULL,1,Teams,VS-DR-COM-G-VSAM-03,CMS_DOM_CML
5376.00,PENNSYLVANIA HOUSING FINANCE AGENCY,87086691,04/19/2020 00:00:00,NULL,MANUAL,XAAS,87086691,UMBRELLA,40316371,12,12,4/29/2020,NULL,1,Account Manager,dburkhol,SLED-STATE PA Key L6
3108.00,QUADRANGLE DEVELOPMENT CORPORATION,87086695,04/19/2020 00:00:00,NULL,MANUAL,XAAS,87086695,UMBRELLA,25505777,12,12,4/29/2020,NULL,1,Teams,USC-SB-NN MIDATLANTIC,SBU_NN MIDATLANTIC
340.20,EDGECORE,87087086,04/19/2020 00:00:00,NULL,MANUAL,XAAS,87087086,TROPO,39304749,12,12,4/29/2020,NULL,1,Teams,VS-US-COM-WEST-G-VSAM-23,ROCKIES COM MIDSIZE
-166.82,ARDIAN France,1300155363,04/19/2020 00:00:00,NULL,MANUAL,XAAS,1300155363,WEBEX,1200110152,3,2,3/7/2020,NULL,1,Teams,SHARED_IDF_FINANCE_TEAM,FR_COMM_BANK
1449.10,Housley Commmunications,1300155364,04/19/2020 00:00:00,NULL,MANUAL,XAAS,1300155364,WEBEX,1200225710,12,12,7/8/2019,NULL,1,Teams,SBU_AU_NSW_TER1,AU_COM_NSW_PL_S_TM
32844.00,CYBOUZUINC,87087663,04/19/2020 00:00:00,NULL,MANUAL,XAAS,87087663,AMP4EP,47335790,12,12,5/15/2020,NULL,1,Account Manager,kiogura,CSL_JPN_KANTO_DS_3
357.36,VALUE AND LINK COMPANY LTD,87087763,04/19/2020 00:00:00,NULL,MANUAL,XAAS,87087763,WEBEX,47514119,12,12,8/2/2019,NULL,1,Teams,JPN_SMALL_KANTO_SHARED,JPN_COM_GEO_TEAM02_PL
457.20,OE CORPORATION,87088174,04/19/2020 00:00:00,NULL,MANUAL,XAAS,87088174,WEBEX,47543288,12,12,4/21/2020,NULL,1,Teams,JPN_SMALL_KANSAI_SHARED,JPN_COM_WEST_TMF_NN_TEAM
-3288.66,JT FAMILY HOLDING OY,1300155426,04/19/2020 00:00:00,NULL,MANUAL,XAAS,1300155426,WEBEX,1200225709,25,17,9/12/2019,NULL,1,Account Manager,ehinkkan,FINLAND_COMM_GNN
